onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
9492.514489	1.5999414	9	1	7	13	3	n/a	9492.914589	n/a
9494.114412	1.5997784	9	2	7	13	3	n/a	9494.514351	n/a
9495.714178	1.5997781	9	3	7	13	3	n/a	9496.114119	n/a
9497.313965	1.5997498	9	4	7	13	3	n/a	9497.713884	n/a
9498.913709	1.5997775	9	5	3	12	2	1	9499.313645	0.5013738
9500.513391	1.5998729	9	6	3	11	1	1	9500.913427	0.5012647
9502.113265	1.5997745	9	7	3	10	1	1	9502.513185	0.4012599
9503.71292	1.5998901	9	8	3	9	1	1	9504.112967	0.5012326
9505.312845	1.599668889	9	9	3	8	1	1	9505.712743	0.5030944
9506.912559	1.599776	9	10	3	7	2	1	9507.312509	0.4011061
9508.512277	1.599843805	9	11	3	6	1	1	9508.912179	0.5047826
9510.112103	1.5997753	9	12	3	5	1	1	9510.512037	0.4008895
9511.711858	1.5998087	9	13	3	4	1	0	9512.111677	0.8010847
9513.311634	1.5997789	9	14	3	3	1	1	9513.711566	0.6006286
9514.911392	1.5997882	9	15	3	2	1	0	9515.311324	0.6010264
9516.511164	1.5997822	9	16	3	1	2	0	9516.911103	0.5011287
9518.11094	1.5997666	9	17	4	1	1	0	9518.510884	0.5047178
9519.710721	1.5997593	9	18	4	2	1	1	9520.110637	0.4005197
9521.31047	1.5997812	9	19	4	3	1	0	9521.710405	0.600754
9522.910235	1.5997668	9	20	4	4	2	0	9523.310171	0.6006546
9524.509949	1.5998697	9	21	4	5	1	0	9524.909945	0.6010519
9526.109775	1.5997526	9	22	4	6	2	0	9526.509748	0.7005483
9527.709529	1.5998392	9	23	4	7	2	1	9528.109482	0.5010857
9529.309304	1.5997895	9	24	4	8	1	1	9529.70924	0.5005303
9530.909085	1.5997638	9	25	4	9	2	1	9531.309019	0.4006106
9532.508841	1.5997795	9	26	4	10	2	1	9532.908789	0.5010524
9534.108608	1.5997784	9	27	4	11	1	0	9534.508501	0.3007596
9535.70837	1.5997827	9	28	4	12	2	0	9536.108319	0.3005988
9537.308206	1.5997259	9	29	6	12	2	1	9537.708092	0.3005966
9538.907877	1.5997361	9	30	6	11	1	0	9539.307859	0.4005649
9540.507663	1.5997758	9	31	6	10	1	1	9540.907506	0.3006181
9542.107416	1.5997938	9	32	6	9	2	1	9542.507382	0.5005253
9543.707164	1.5998011	9	33	6	8	2	1	9544.107141	0.7004888
9545.306958	1.5997915	9	34	6	7	2	1	9545.706761	0.7006242
9546.906731	1.599761	9	35	6	6	1	0	9547.306673	0.6005005
9548.506491	1.5997828	9	36	6	5	2	1	9548.906429	0.5005301
9550.106268	1.5997955	9	37	6	4	2	0	9550.506211	0.5013378
9551.706037	1.5997983	9	38	6	3	2	1	9552.105993	0.7004689
9553.305813	1.5997781	9	39	6	2	2	0	9553.70575	0.5001707
9554.905586	1.5997823	9	40	6	1	1	0	9555.30553	0.5004864
9556.505358	1.5997819	9	41	1	1	1	1	9556.905301	0.600499
9558.105123	1.5997861	9	42	1	2	1	0	9558.505059	0.6005227
9559.704884	1.5997836	9	43	1	3	1	1	9560.104833	0.5004956
9561.304646	1.599793	9	44	1	4	1	0	9561.704596	0.600609
9562.904424	1.5998218	9	45	1	5	1	0	9563.304369	0.6006687
9564.504187	1.5997737	9	46	1	6	2	1	9564.904123	0.8001629
9566.10396	1.5997785	9	47	1	7	2	1	9566.503894	0.7005567
9567.703733	1.5997837	9	48	1	8	1	1	9568.103668	0.5006381
9569.303499	1.5998013	9	49	1	9	1	1	9569.70343	0.6005486
9570.903272	1.5997627	9	50	1	10	1	1	9571.303192	0.5005888
9572.503022	1.5997977	9	51	1	11	1	1	9572.902974	0.5005661
9574.102751	1.5998336	9	52	1	12	1	1	9574.502743	0.5005677
9575.702548	1.5998114	9	53	4	12	1	1	9576.102509	0.6005999
9577.302201	1.599952711	9	54	4	11	2	1	9577.702275	0.6003991
9578.902101	1.599775	9	55	4	10	1	1	9579.302043	0.5005398
9580.501863	1.5997817	9	56	4	9	2	1	9580.901798	0.5005686
9582.101621	1.5997874	9	57	4	8	1	1	9582.50159	0.5005474
9583.701388	1.5997996	9	58	4	7	1	1	9584.101332	0.600602
9585.301177	1.5997803	9	59	4	6	1	1	9585.700919	0.7007312
9586.900924	1.5997874	9	60	4	5	1	1	9587.300879	0.6003328
9588.500691	1.5997722	9	61	4	4	1	0	9588.900682	0.4005569
9590.100448	1.5997866	9	62	4	3	2	0	9590.500388	0.4004513
9591.700195	1.5998131	9	63	4	2	1	0	9592.100156	0.4005987
9593.29983	1.5997858	9	64	4	1	2	0	9593.699767	0.4011856
9594.899685	1.5998628	9	65	6	1	2	0	9595.299688	0.4005915
9596.499516	1.5997833	9	66	6	2	2	1	9596.899458	0.4005946
9598.099285	1.5997086	9	67	6	3	1	1	9598.499229	0.4005936
9599.699051	1.5998038	9	68	6	4	1	0	9600.099	0.400579
9601.29885	1.5997681	9	69	6	5	1	1	9601.69861	0.5007517
9602.898573	1.5998119	9	70	6	6	2	0	9603.298559	0.600553
9604.498372	1.599779	9	71	6	7	2	0	9604.898322	0.6005625
9606.098136	1.5997777	9	72	6	8	1	0	9606.498058	0.6005618
9607.697752	1.5999128	9	73	6	9	1	1	9608.0979	0.8004731886
9609.297663	1.5997946	9	74	6	10	2	1	9609.697655	0.6004638
9610.897423	1.599847478	9	75	6	11	2	1	9611.297434	0.7004931443
9612.497212	1.5997896	9	76	6	12	1	1	9612.897155	0.5005521
9614.096958	1.5998105	9	77	1	12	2	1	9614.496923	0.5005608
9615.696756	1.5997761	9	78	1	11	2	1	9616.096557	0.6006534
9617.296513	1.599829878	9	79	1	10	1	0	9617.69646	0.5005909
9618.896279	1.5997831	9	80	1	9	2	1	9619.296219	0.7005052
9620.496041	1.599803	9	81	1	8	1	1	9620.895995	0.7005435
9622.095824	1.5997623	9	82	1	7	1	1	9622.495747	0.7005
9623.695578	1.5997848	9	83	1	6	2	1	9624.095528	0.7005477
9625.295341	1.5997977	9	84	1	5	2	1	9625.695286	0.7005184
9626.895117	1.5997835	9	85	1	4	1	1	9627.295073	0.4005712
9628.494862	1.5998003	9	86	1	3	2	n/a	9628.894829	n/a
9630.094642	1.5998028	9	87	1	2	2	1	9630.494603	0.8006458
9631.694426	1.5997759	9	88	1	1	2	0	9632.09437	0.7005678
9633.294207	1.5997745	9	89	2	1	1	0	9633.694133	0.8005204
9634.893964	1.5997636	9	90	2	2	1	1	9635.293899	0.6005531
9636.493722	1.5997927	9	91	2	3	1	1	9636.893676	0.6005378
9638.093428	1.5998393	9	92	2	4	2	1	9638.493427	0.7005751
9639.693233	1.5998423	9	93	2	5	1	1	9640.093179	0.6005646
9641.292982	1.5998056	9	94	2	6	1	1	9641.692949	0.5005783
9642.892774	1.5998511	9	95	2	7	2	1	9643.292711	0.60055
9644.492543	1.5997771	9	96	2	8	2	1	9644.892481	0.6002177
9646.092307	1.5996615	9	97	2	9	1	1	9646.49234	0.5004747
9647.692074	1.599751	9	98	2	10	1	1	9648.092016	0.6005367
9649.291843	1.5997677	9	99	2	11	1	1	9649.691779	0.6005457
9650.891611	1.5998048	9	100	2	12	2	1	9651.29155	0.8005351
9652.491391	1.5997857	9	101	2	12	1	1	9652.891325	0.7005385
9654.091166	1.5997817	9	102	2	11	1	1	9654.491101	0.6005076
9655.690935	1.5997625	9	103	2	10	2	1	9656.090877	0.6005292
9657.290696	1.5997816	9	104	2	9	1	1	9657.690636	0.5005406
9658.890469	1.5997598	9	105	2	8	2	1	9659.290419	0.5006073
9660.490229	1.599777	9	106	2	7	2	1	9660.890174	0.700554
9662.090039	1.599739244	9	107	2	6	1	1	9662.489947	0.6005529
9663.689771	1.5997747	9	108	2	5	1	1	9664.089714	0.6005574
9665.289524	1.5997963	9	109	2	4	2	0	9665.689338	0.6006876
9666.889304	1.5997835	9	110	2	3	2	1	9667.289244	0.7005479
9668.489075	1.5997843	9	111	2	2	2	0	9668.889018	0.5005585
9670.088725	1.5998929	9	112	2	1	2	1	9670.488777	0.600571
9671.688419	1.5999623	9	113	3	1	1	1	9672.088547	0.7001302
9673.288373	1.5997846	9	114	3	2	2	1	9673.688324	0.5005486
9674.888185	1.599742311	9	115	3	3	1	0	9675.287907	0.5007545
9676.487914	1.5996051	9	116	3	4	1	1	9676.887819	0.5005923
9678.087661	1.599803	9	117	3	5	1	1	9678.487587	0.700548
9679.687483	1.599609744	9	118	3	6	2	1	9680.087356	0.8005056
9681.287205	1.599832434	9	119	3	7	2	1	9681.687151	0.700526
9682.886983	1.5997661	9	120	3	8	2	1	9683.286923	0.7005434
9684.48674	1.5997752	9	121	3	9	2	1	9684.886678	0.5005928
9686.086509	1.599773	9	122	3	10	1	1	9686.486455	0.6005579
9687.686278	1.5998044	9	123	3	11	2	1	9688.086113	0.6006637
9689.286052	1.5997458	9	124	3	12	1	1	9689.685962	0.5006184
9690.885796	1.5997739	9	125	5	12	2	1	9691.285724	0.6005569
9692.485556	1.5997743	9	126	5	11	2	0	9692.8855	0.6005575
9694.085331	1.5997716	9	127	5	10	2	1	9694.48527	0.6005738
9695.685101	1.5997696	9	128	5	9	1	1	9696.085037	0.5006214
9697.284852	1.5997917	9	129	5	8	1	1	9697.684795	0.7005873
9698.884627	1.599777	9	130	5	7	2	1	9699.284568	0.8005356
9700.48423	1.5999601	9	131	5	6	2	1	9700.884336	0.8005558
9702.084187	1.5997812	9	132	5	5	2	1	9702.484155	0.4005626222
9703.683956	1.599777	9	133	5	4	2	1	9704.083892	0.6005403
9705.283534	1.5999539	9	134	5	3	2	0	9705.683656	0.5005736
9706.883489	1.5997761	9	135	5	2	2	1	9707.283433	0.4005918
9708.483255	1.59972	9	136	5	1	2	1	9708.883187	0.500552
9710.083019	1.599721	9	137	5	1	1	1	9710.48296	0.6005463
9711.68277	1.5997937	9	138	5	2	2	1	9712.082726	0.7005364
9713.28255	1.5996513	9	139	5	3	1	0	9713.682366	0.6006871
9714.882318	1.5997683	9	140	5	4	1	1	9715.282266	0.8005613
9716.482083	1.5997794	9	141	5	5	2	1	9716.882012	0.4005861
9718.081861	1.5997719	9	142	5	6	1	1	9718.48179	0.5005866
9719.681622	1.5997658	9	143	5	7	1	1	9720.081562	0.5006009
9721.281388	1.5997763	9	144	5	8	2	1	9721.681335	0.4001056
9722.881142	1.599797	9	145	5	9	1	1	9723.281096	0.5005659
9724.480913	1.5997849	9	146	5	10	1	0	9724.880866	0.5005613
9726.080734	1.599741433	9	147	5	11	1	1	9726.480614	0.6006054
9727.680448	1.5997916	9	148	5	12	1	1	9728.080394	0.6005904
9729.280262	1.5997024	9	149	7	13	3	n/a	9729.680163	n/a
9730.879998	1.5997707	9	150	7	13	3	n/a	9731.279923	n/a
9732.4797	1.5998112	9	151	7	13	3	n/a	9732.879739	n/a
9734.079522	1.5997962	9	152	7	13	3	n/a	9734.479259	n/a
