onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
1032.256864	1.6000363	1	1	7	13	3	n/a	1032.656984	n/a
1033.856857	1.5998236	1	2	7	13	3	n/a	1034.256804	n/a
1035.45666	1.599698	1	3	7	13	3	n/a	1035.856573	n/a
1037.056471	1.5998226	1	4	7	13	3	n/a	1037.456416	n/a
1038.656275	1.5997872	1	5	1	12	2	1	1039.056116	0.402052
1040.256089	1.599811	1	6	1	11	1	1	1040.656039	0.301309
1041.855897	1.599868068	1	7	1	10	1	1	1042.255843	0.3013256
1043.455709	1.599808	1	8	1	9	2	1	1043.855643	0.4005105
1045.055512	1.5998167	1	9	1	8	2	1	1045.455466	0.2024159
1046.655319	1.5998059	1	10	1	7	1	0	1047.055257	0.3010992
1048.255109	1.5998148	1	11	1	6	2	0	1048.65505	0.401417
1049.854918	1.5998173	1	12	1	5	2	1	1050.254867	0.7026853
1051.454729	1.5998117	1	13	1	4	1	1	1051.854671	0.6010308
1053.054525	1.5998197	1	14	1	3	1	1	1053.454477	1.1045959
1054.654337	1.5998119	1	15	1	2	1	0	1055.054292	0.8003826
1056.254143	1.5997909	1	16	1	1	1	1	1056.654104	0.6012115
1057.853956	1.5998269	1	17	1	1	2	1	1058.25387	0.3011991
1059.453782	1.5998413	1	18	1	2	2	0	1059.853697	0.3011345
1061.053584	1.5998146	1	19	1	3	2	1	1061.453546	0.50072
1062.653412	1.599792	1	20	1	4	2	1	1063.053348	0.6005351
1064.25323	1.5997829	1	21	1	5	2	1	1064.65315	0.8004925
1065.853	1.5998323	1	22	1	6	1	1	1066.252961	0.5006225
1067.452661	1.5999707	1	23	1	7	2	1	1067.852768	0.6005554
1069.05262	1.5997943	1	24	1	8	2	1	1069.452568	0.5005078
1070.652442	1.5998099	1	25	1	9	1	1	1071.052376	0.40059
1072.252234	1.5998201	1	26	1	10	2	1	1072.65219	0.5005369
1073.852045	1.5998125	1	27	1	11	2	1	1074.251998	0.40059
1075.451792	1.5997256	1	28	1	12	2	1	1075.851803	0.5004781
1077.051652	1.5998226	1	29	2	12	2	1	1077.451609	0.5005559
1078.651461	1.5998323	1	30	2	11	2	1	1079.051315	0.6006457
