onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
592.0998069	1.599993516	9	1	7	13	3	n/a	592.4999153	n/a
593.6997799	1.5996687	9	2	7	13	3	n/a	594.0996525	n/a
595.2995575	1.608173669	9	3	7	13	3	n/a	595.6993595	n/a
596.9077143	1.599808732	9	4	7	13	3	n/a	597.307676	n/a
598.5158111	1.599845037	9	5	6	12	2	1	598.9157732	0.5022031274
600.1156441	1.907963785	9	6	6	11	2	1	600.8239124	0.6025459214
602.0237025	1.599841437	9	7	6	10	1	1	602.4236602	0.7024233067
603.6235373	1.666493358	9	8	6	9	1	1	604.0234924	0.8687058642
605.2900618	2.06627049	9	9	6	8	1	1	605.690016	0.5054448211
607.3562352	1.5998452	9	10	6	7	1	n/a	607.7562254	n/a
608.9560678	1.5998532	9	11	6	6	2	1	609.3560594	1.0006148
610.5559055	1.5997897	9	12	6	5	1	1	610.9558227	0.7014951
612.155687	1.5997807	9	13	6	4	1	0	612.5556225	0.3016135
613.7554672	1.6000182	9	14	6	3	1	1	614.1554124	0.3017722
615.6720567	1.7913551	9	15	6	2	1	0	616.0719009	0.3017478
617.4633925	1.6331602	9	16	6	1	1	1	617.8633502	0.4336886
619.0966842	1.5997273	9	17	2	1	1	0	619.4964628	0.4003941
620.6964043	1.5999332	9	18	2	2	2	0	621.0963323	0.4005966
622.2961499	2.2747231	9	19	2	3	1	0	622.6961226	1.0752068
624.5708456	1.59983	9	20	2	4	1	1	624.9709446	0.1002504
626.1706858	1.5998065	9	21	2	5	2	1	626.570616	0.4005297
627.7706244	1.8080105	9	22	2	6	2	1	628.37882	0.6004821
629.6120235	1.5999215	9	23	2	7	1	1	630.0119096	0.4006369
631.211875	1.5996948	9	24	2	8	1	1	631.611814	0.4002704
632.8115334	1.5998331	9	25	2	9	1	1	633.2116119	0.5001638
634.4114983	3.0495071	9	26	2	10	1	1	634.8281392	1.2254499
637.4777656	1.5997136	9	27	2	11	2	1	637.8776475	0.600862
639.0776026	2.0248298	9	28	2	12	1	1	639.4774311	0.5007248
641.1022356	1.5999264	9	29	4	12	2	1	641.5022253	0.5003008
642.7021556	1.5997075	9	30	4	11	2	1	643.1020451	0.6003942
644.301893	1.5999204	9	31	4	10	1	1	644.70179	0.6002451
645.9016328	1.5999944	9	32	4	9	1	1	646.3016414	0.8007555
647.5016226	1.5998184	9	33	4	8	1	1	647.9015715	0.5000631
649.1014267	1.5997749	9	34	4	7	1	1	649.5012691	0.5006217
650.7012726	1.5997668	9	35	4	6	1	1	651.1011894	0.6005052
652.3010367	1.5998083	9	36	4	5	2	1	652.7009856	0.6004682
653.9008454	1.9831	9	37	4	4	1	1	654.300642	1.0090698
656.1922365	1.5996432	9	38	4	3	1	0	656.5920205	0.2014194
657.7918657	1.6000409	9	39	4	2	2	0	658.1918207	0.3003476
659.3917505	1.5997975	9	40	4	1	1	0	659.7918439	0.2005942211
660.9917074	1.9913941	9	41	1	1	2	n/a	661.6331992	n/a
662.9828765	1.5999917	9	42	1	2	2	n/a	663.3830347	n/a
664.5828711	1.8579674	9	43	1	3	1	1	664.9828356	0.3001086
666.4409787	1.5998205	9	44	1	4	2	1	666.8409272	0.3006127
668.0408024	1.5997632	9	45	1	5	1	1	668.4407387	0.5005649
