onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
589085.0791	1.600222787	4	1	7	13	3	n/a	589085.4792	n/a
589086.6793	1.60025538	4	2	7	13	3	n/a	589087.0794	n/a
589088.2796	1.600281588	4	3	7	13	3	n/a	589088.6797	n/a
589089.8799	1.600112584	4	4	7	13	3	n/a	589090.2799	n/a
589091.48	1.60024203	4	5	7	13	3	n/a	589091.8801	n/a
589093.0803	1.600228393	4	6	7	13	3	n/a	589093.4803	n/a
589094.6805	1.600231738	4	7	7	13	3	n/a	589095.0806	n/a
589096.2807	1.600251914	4	8	7	13	3	n/a	589096.6808	n/a
589097.881	1.600202694	4	9	7	13	3	n/a	589098.281	n/a
589099.4812	1.600218846	4	10	7	13	3	n/a	589099.8813	n/a
589101.0815	1.600220996	4	11	4	12	2	1	589101.4816	0.4035396948
589102.6818	1.600152769	4	12	4	11	2	1	589103.0818	0.5027698792
589104.282	1.600231169	4	13	4	10	2	1	589104.682	0.5033187942
589105.8822	1.600217547	4	14	4	9	2	1	589106.2823	0.5022729931
589107.4825	1.600225238	4	15	4	8	1	1	589107.8825	0.4033040701
589109.0827	1.600230239	4	16	4	7	2	1	589109.4828	0.5052507252
589110.6829	1.600244269	4	17	4	6	1	1	589111.0831	0.5036091766
589112.2832	1.600228447	4	18	4	5	1	1	589112.6833	0.5030954179
589113.8834	1.600278734	4	19	4	4	1	1	589114.2835	0.6022071954
589115.4837	1.600251234	4	20	4	3	1	0	589115.8838	0.3021567456
589117.084	1.600229236	4	21	4	2	1	1	589117.4841	0.3013561434
589118.6843	1.600126619	4	22	4	1	1	1	589119.0843	0.5015895286
589120.2844	1.6002283	4	23	4	1	1	0	589120.6845	0.4030418936
589121.8847	1.60022174	4	24	4	2	2	0	589122.2847	0.4028392315
589123.4849	1.6002193	4	25	4	3	1	0	589123.885	0.3024121091
589125.0852	1.600220045	4	26	4	4	1	1	589125.4852	0.4026649941
589126.6854	1.600234453	4	27	4	5	1	0	589127.0855	0.3028240172
589128.2857	1.600252236	4	28	4	6	1	1	589128.6857	0.6024655408
589129.8859	1.60027408	4	29	4	7	1	1	589130.286	0.6013683991
589131.4862	1.600238289	4	30	4	8	2	1	589131.8863	0.400681712
589133.0865	1.600098416	4	31	4	9	1	1	589133.4865	0.4011001057
589134.6867	1.600095106	4	32	4	10	1	1	589135.0867	0.5027180054
589136.2868	1.600260766	4	33	4	11	1	1	589136.687	0.5028173976
589137.8872	1.600131649	4	34	4	12	2	1	589138.2871	0.4030168988
589139.4873	1.600227806	4	35	7	13	3	n/a	589139.8874	n/a
589141.0876	1.600248022	4	36	7	13	3	n/a	589141.4877	n/a
589142.6878	1.600227284	4	37	7	13	3	n/a	589143.0879	n/a
589144.2881	1.600239768	4	38	7	13	3	n/a	589144.6882	n/a
589145.8883	1.600227177	4	39	7	13	3	n/a	589146.2884	n/a
589147.4886	1.600234015	4	40	7	13	3	n/a	589147.8886	n/a
589149.0888	1.600241646	4	41	7	13	3	n/a	589149.4889	n/a
589150.6891	1.600227769	4	42	7	13	3	n/a	589151.0891	n/a
589152.2893	1.600243539	4	43	7	13	3	n/a	589152.6895	n/a
589153.8895	1.600236251	4	44	7	13	3	n/a	589154.2896	n/a
589155.4898	1.600315789	4	45	1	12	2	1	589155.8899	0.6024752408
589157.0901	1.600216507	4	46	1	11	2	1	589157.4901	0.5027426719
589158.6903	1.60027685	4	47	1	10	1	1	589159.0905	0.4023747361
589160.2905	1.600267596	4	48	1	9	1	1	589160.6906	0.5024804383
589161.8908	1.600241038	4	49	1	8	1	1	589162.2909	0.5026683885
589163.491	1.600256889	4	50	1	7	1	1	589163.8911	0.5027277941
589165.0913	1.600228107	4	51	1	6	2	1	589165.4913	0.5024875172
589166.6915	1.600236015	4	52	1	5	2	1	589167.0916	0.7028063327
589168.2918	1.600234738	4	53	1	4	2	0	589168.6918	0.6029565017
589169.8921	1.600140026	4	54	1	3	2	1	589170.2921	0.4024921941
589171.4923	1.600261126	4	55	1	2	1	1	589171.8923	0.3011717501
589173.0925	1.600257965	4	56	1	1	1	0	589173.4926	0.301429232
589174.6928	1.600249353	4	57	6	1	1	1	589175.0929	0.400986028
589176.2931	1.600131066	4	58	6	2	2	1	589176.693	0.3025936619
589177.8932	1.600238561	4	59	6	3	2	0	589178.2933	0.802330847
589179.4935	1.60021041	4	60	6	4	2	1	589179.8935	0.003004584927
589181.0937	1.600236214	4	61	6	5	2	0	589181.4938	0.7026176712
589182.694	1.600225298	4	62	6	6	1	0	589183.094	0.8028192321
589184.2942	1.600218484	4	63	6	7	1	1	589184.6943	0.4029224172
589185.8945	1.600270719	4	64	6	8	1	1	589186.2945	0.3024451339
589187.4947	1.600266742	4	65	6	9	2	1	589187.8948	0.5016185388
589189.095	1.600262383	4	66	6	10	1	1	589189.4951	0.5010853207
589190.6953	1.600104013	4	67	6	11	1	1	589191.0952	0.6032155602
589192.2954	1.600242415	4	68	6	12	1	1	589192.6955	0.5029880832
589193.8956	1.600263337	4	69	7	13	3	n/a	589194.2957	n/a
589195.4959	1.600239353	4	70	7	13	3	n/a	589195.896	n/a
589197.0962	1.60024795	4	71	7	13	3	n/a	589197.4962	n/a
589198.6964	1.600273395	4	72	7	13	3	n/a	589199.0965	n/a
589200.2966	1.600241862	4	73	7	13	3	n/a	589200.6967	n/a
589201.8969	1.600218876	4	74	7	13	3	n/a	589202.297	n/a
589203.4971	1.600232362	4	75	7	13	3	n/a	589203.8972	n/a
589205.0974	1.600230923	4	76	7	13	3	n/a	589205.4976	n/a
589206.6976	1.60023057	4	77	7	13	3	n/a	589207.0977	n/a
589208.2979	1.60032916	4	78	7	13	3	n/a	589208.698	n/a
589209.8981	1.600238501	4	79	2	12	1	1	589210.2982	0.4027530936
589211.4984	1.600224084	4	80	2	11	2	1	589211.8984	0.5029775782
589213.0986	1.60023106	4	81	2	10	2	1	589213.4987	0.5027466252
589214.6989	1.600265188	4	82	2	9	1	1	589215.099	0.5019385134
589216.2992	1.600263404	4	83	2	8	1	1	589216.6992	0.8011999722
589217.8994	1.600128928	4	84	2	7	1	1	589218.2995	0.7011769895
589219.4997	1.600145249	4	85	2	6	1	1	589219.8996	0.7028112476
589221.0999	1.600253049	4	86	2	5	2	1	589221.4999	0.5022483742
589222.7002	1.600250252	4	87	2	4	1	1	589223.1002	0.4013652636
589224.3004	1.600111575	4	88	2	3	2	1	589224.7005	0.4005763362
589225.9007	1.600154781	4	89	2	2	1	1	589226.3006	0.4026075781
589227.5008	1.600229769	4	90	2	1	1	0	589227.9009	0.4030110314
589229.1011	1.60022424	4	91	2	1	2	0	589229.5011	0.2035591017
589230.7013	1.600228884	4	92	2	2	1	0	589231.1014	0.302980724
589232.3015	1.60024033	4	93	2	3	1	1	589232.7016	0.3025531172
589233.9018	1.600217315	4	94	2	4	2	1	589234.3019	0.3028836625
589235.502	1.600264822	4	95	2	5	1	1	589235.9021	0.402910301
589237.1023	1.600260765	4	96	2	6	1	1	589237.5024	0.5020867897
589238.7025	1.600328865	4	97	2	7	1	1	589239.1027	0.5009855175
589240.3029	1.600116421	4	98	2	8	1	1	589240.7029	0.4010097906
589241.9031	1.600112859	4	99	2	9	2	1	589242.3031	0.4028609464
589243.5033	1.600238207	4	100	2	10	2	1	589243.9033	0.4031230159
589245.1035	1.600235553	4	101	2	11	1	1	589245.5036	0.5027355781
589246.7038	1.600236492	4	102	2	12	1	1	589247.1038	0.5028531551
589248.304	1.60022383	4	103	7	13	3	n/a	589248.7041	n/a
589249.9042	1.60022137	4	104	7	13	3	n/a	589250.3043	n/a
589251.5045	1.600226761	4	105	7	13	3	n/a	589251.9046	n/a
589253.1047	1.600236536	4	106	7	13	3	n/a	589253.5048	n/a
589254.705	1.600258358	4	107	7	13	3	n/a	589255.105	n/a
589256.3053	1.600279145	4	108	7	13	3	n/a	589256.7053	n/a
589257.9055	1.600276274	4	109	7	13	3	n/a	589258.3056	n/a
589259.5058	1.600236893	4	110	7	13	3	n/a	589259.9059	n/a
589261.1059	1.60024513	4	111	7	13	3	n/a	589261.506	n/a
