onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
16297.95446	1.60017117	1	1	7	13	3	n/a	16298.35441	n/a
16299.55468	1.60022892	1	2	7	13	3	n/a	16299.95471	n/a
16301.15492	1.600253169	1	3	7	13	3	n/a	16301.55499	n/a
16302.75519	1.600147906	1	4	7	13	3	n/a	16303.15525	n/a
16304.35536	1.600270305	1	5	7	13	3	n/a	16304.75543	n/a
16305.95567	1.600245977	1	6	7	13	3	n/a	16306.35572	n/a
16307.55592	1.600231676	1	7	7	13	3	n/a	16307.956	n/a
16309.15618	1.600124402	1	8	7	13	3	n/a	16309.55612	n/a
16310.7563	1.600278961	1	9	7	13	3	n/a	16311.15637	n/a
16312.35654	1.600228272	1	10	7	13	3	n/a	16312.75661	n/a
16313.9568	1.600248936	1	11	3	12	2	1	16314.35685	1.004002191
16315.55703	1.600238036	1	12	3	11	1	1	16315.95709	0.5026665706
16317.15728	1.600222608	1	13	3	10	2	0	16317.55736	0.5035390746
16318.75753	1.600223872	1	14	3	9	2	n/a	16319.15758	n/a
16320.35776	1.600244016	1	15	3	8	2	1	16320.75785	0.602599127
16321.95803	1.600259969	1	16	3	7	2	1	16322.35808	0.5029248704
16323.55829	1.600274953	1	17	3	6	2	0	16323.95839	0.2021631655
16325.1586	1.600238572	1	18	3	5	1	1	16325.55867	0.7007875126
16326.75887	1.600106045	1	19	3	4	2	0	16327.15893	0.3038418245
16328.35898	1.60022898	1	20	3	3	1	0	16328.75906	1.10307647
16329.95924	1.600237816	1	21	3	2	2	1	16330.3593	0.8034923105
16331.55948	1.600245585	1	22	3	1	1	0	16331.95955	0.4024364706
16333.15973	1.600220424	1	23	3	1	1	0	16333.55979	0.4023311142
16334.75996	1.600231028	1	24	3	2	1	0	16335.16011	0.6028831331
16336.36021	1.60022288	1	25	3	3	1	n/a	16336.76027	n/a
16337.96046	1.600282593	1	26	3	4	2	n/a	16338.36052	n/a
16339.5607	1.600261129	1	27	3	5	2	n/a	16339.96076	n/a
16341.16099	1.600269213	1	28	3	6	1	n/a	16341.56107	n/a
16342.76127	1.6002501	1	29	3	7	2	n/a	16343.16136	n/a
16344.36153	1.600230624	1	30	3	8	1	n/a	16344.7616	n/a
16345.96165	1.600257837	1	31	3	9	1	n/a	16346.36173	n/a
16347.5619	1.600251193	1	32	3	10	1	1	16347.96195	1.102644123
16349.16215	1.600238684	1	33	3	11	2	n/a	16349.56221	n/a
