onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
67948.32747	0.622173125	1	1	4	12	2	n/a	67948.43869	n/a
67948.94321	1.514023875	1	2	4	11	2	1	67949.31883	0.096149417
67950.45051	1.512215583	1	3	4	10	2	1	67950.82798	0.001434958001
67951.95661	1.514110292	1	4	4	9	2	1	67952.33496	0.09575241699
67953.46393	1.515014208	1	5	4	8	2	1	67953.84077	0.095560125
67954.97266	1.512494958	1	6	4	7	2	1	67955.34795	0.004719417004
67956.47963	1.515501833	1	7	4	6	2	1	67956.85695	0.002068874994
67957.98863	1.515902875	1	8	4	5	2	1	67958.36706	0.094843667
67959.49745	1.51595275	1	9	4	4	2	1	67959.87396	0.0008777079929
67961.01077	1.512039666	1	10	4	3	2	1	67961.386	0.09434858301
67962.51651	1.5210035	1	11	4	2	2	1	67962.8967	0.09691870799
67964.03087	1.515005166	1	12	4	1	2	1	67964.40883	0.001035124995
67965.53954	1.517954167	1	13	5	1	2	1	67965.91766	0.0008634580008
67967.05143	1.516861541	1	14	5	2	2	1	67967.42771	0.0008919169923
67968.56193	1.520564666	1	15	5	3	2	n/a	67968.94021	n/a
67970.07623	1.5204865	1	16	5	4	2	n/a	67970.45488	n/a
67971.59043	1.519460708	1	17	5	5	2	n/a	67971.96853	n/a
67973.10302	1.517781666	1	18	5	6	2	n/a	67973.47954	n/a
67974.61456	1.516174584	1	19	5	7	2	n/a	67974.99236	n/a
67976.12445	1.513508292	1	20	5	8	2	n/a	67976.5005	n/a
67977.63104	1.519055709	1	21	5	9	2	n/a	67978.00925	n/a
67979.14369	1.517393958	1	22	5	10	2	n/a	67979.51996	n/a
67980.65482	1.519583292	1	23	5	11	2	n/a	67981.03278	n/a
67982.16813	1.517304042	1	24	5	12	2	n/a	67982.54619	n/a
67983.6791	1.522560208	1	25	5	12	2	n/a	67984.05601	n/a
67985.19496	1.518836209	1	26	5	11	2	n/a	67985.57287	n/a
67986.70743	1.517401833	1	27	5	10	2	n/a	67987.08434	n/a
67988.21862	1.517862667	1	28	5	9	2	n/a	67988.59655	n/a
67989.7298	1.519528125	1	29	5	8	2	n/a	67990.1081	n/a
67991.24298	1.517755	1	30	5	7	2	n/a	67991.62007	n/a
67992.75453	1.515290583	1	31	5	6	2	n/a	67993.13285	n/a
67994.26282	1.518474166	1	32	5	5	2	n/a	67994.64172	n/a
67995.77505	1.51659425	1	33	5	4	2	n/a	67996.15156	n/a
67997.28517	1.519608417	1	34	5	3	2	n/a	67997.66257	n/a
67998.79862	1.520314625	1	35	5	2	2	n/a	67999.17732	n/a
68000.31274	1.516996791	1	36	5	1	2	n/a	68000.69081	n/a
68001.8234	1.519169708	1	37	2	1	2	n/a	68002.20198	n/a
68003.33554	1.518787125	1	38	2	2	2	n/a	68003.71212	n/a
68004.84796	1.520996458	1	39	2	3	2	n/a	68005.22539	n/a
68006.36244	1.520055667	1	40	2	4	2	n/a	68006.74162	n/a
68007.8762	1.520920375	1	41	2	5	2	n/a	68008.25501	n/a
68009.39001	1.512234375	1	42	2	6	2	n/a	68009.76303	n/a
68010.89551	1.518795542	1	43	2	7	2	n/a	68011.27265	n/a
68012.40788	1.518353333	1	44	2	8	2	n/a	68012.78509	n/a
68013.91995	1.519532	1	45	2	9	2	n/a	68014.29702	n/a
68015.43297	1.519038	1	46	2	10	2	n/a	68015.81085	n/a
68016.94561	1.516874334	1	47	2	11	2	n/a	68017.32133	n/a
68018.45618	1.532616708	1	48	2	12	2	n/a	68018.8445	n/a
68019.98262	1.519992	1	49	2	12	2	n/a	68020.36099	n/a
68021.4958	1.519836083	1	50	2	11	2	n/a	68021.87433	n/a
68023.0093	1.517482708	1	51	2	10	2	1	68023.38632	1.041454833
68024.52067	1.516475708	1	52	2	9	2	1	68024.90064	0.0008420410013
68026.03063	1.515196667	1	53	2	8	2	1	68026.40452	0.095642584
68027.53952	1.517023208	1	54	2	7	2	1	68027.91632	0.0008637499996
68029.05268	1.513861042	1	55	2	6	2	1	68029.4291	0.0007913750014
68030.56112	1.517351917	1	56	2	5	2	1	68030.93943	0.477267083
68032.07264	1.516964167	1	57	2	4	2	1	68032.45047	0.473096417
68033.58334	1.517854416	1	58	2	3	2	1	68033.96124	0.190069917
68035.0948	1.516064666	1	59	2	2	2	1	68035.47297	0.28391175
68036.60443	1.513316041	1	60	2	1	2	1	68036.9814	0.0008204580081
68038.11144	1.517246833	1	61	6	1	2	1	68038.48948	0.379045708
68039.62242	1.518934042	1	62	6	2	2	n/a	68040.00071	n/a
68041.13476	1.510496459	1	63	6	3	2	n/a	68041.50945	n/a
68042.63911	1.516798333	1	64	6	4	2	n/a	68043.01641	n/a
68044.14949	1.519177917	1	65	6	5	2	n/a	68044.52793	n/a
68045.66184	1.518408833	1	66	6	6	2	n/a	68046.0397	n/a
68047.17396	1.518225916	1	67	6	7	2	n/a	68047.55066	n/a
68048.68591	1.519222375	1	68	6	8	2	n/a	68049.06376	n/a
68050.19874	1.519943667	1	69	6	9	2	n/a	68050.57702	n/a
68051.71248	1.51889625	1	70	6	10	2	n/a	68052.09065	n/a
68053.22499	1.516906959	1	71	6	11	2	n/a	68053.60204	n/a
68054.73511	1.518712	1	72	6	12	2	n/a	68055.11236	n/a
68056.24762	1.512585584	1	73	6	12	2	n/a	68056.62536	n/a
68057.75377	1.521470917	1	74	6	11	2	n/a	68058.13172	n/a
68059.26824	1.518236792	1	75	6	10	2	n/a	68059.64453	n/a
68060.78036	1.520554834	1	76	6	9	2	n/a	68061.15875	n/a
68062.29444	1.51857725	1	77	6	8	2	n/a	68062.67326	n/a
68063.80675	1.519487584	1	78	6	7	2	n/a	68064.18433	n/a
68065.31985	1.516453958	1	79	6	6	2	n/a	68065.69642	n/a
68066.82939	1.519042541	1	80	6	5	2	n/a	68067.20724	n/a
68068.34218	1.518136042	1	81	6	4	2	n/a	68068.71941	n/a
68069.85382	1.518844459	1	82	6	3	2	n/a	68070.23273	n/a
68071.36659	1.520237959	1	83	6	2	2	n/a	68071.74472	n/a
68072.88031	1.513592458	1	84	6	1	2	n/a	68073.25637	n/a
68074.38766	1.51641075	1	85	1	1	2	n/a	68074.76455	n/a
68075.89769	1.517246416	1	86	1	2	2	n/a	68076.27607	n/a
68077.40854	1.518471	1	87	1	3	2	n/a	68077.78666	n/a
68078.92067	1.51836175	1	88	1	4	2	n/a	68079.29677	n/a
68080.43298	1.520885667	1	89	1	5	2	n/a	68080.81133	n/a
68081.94757	1.5204835	1	90	1	6	2	n/a	68082.32593	n/a
68083.46173	1.518769333	1	91	1	7	2	n/a	68083.83979	n/a
68084.97407	1.517672375	1	92	1	8	2	n/a	68085.35106	n/a
68086.48536	1.517686459	1	93	1	9	2	n/a	68086.86253	n/a
68087.99592	1.517519083	1	94	1	10	2	n/a	68088.37343	n/a
68089.5066	1.518640209	1	95	1	11	2	n/a	68089.88213	n/a
68091.01885	1.518566875	1	96	1	12	2	n/a	68091.39626	n/a
68092.53122	1.51773075	1	97	3	12	2	n/a	68092.90933	n/a
68094.04264	1.5182965	1	98	3	11	2	n/a	68094.42163	n/a
68095.55451	1.51851	1	99	3	10	2	n/a	68095.9327	n/a
68097.06607	1.518456583	1	100	3	9	2	n/a	68097.44285	n/a
68098.57823	1.518915042	1	101	3	8	2	n/a	68098.95505	n/a
68100.09073	1.519385209	1	102	3	7	2	n/a	68100.46862	n/a
68101.60304	1.520198625	1	103	3	6	2	n/a	68101.98138	n/a
68103.11678	1.518713792	1	104	3	5	2	n/a	68103.49424	n/a
68104.62848	1.514078791	1	105	3	4	2	n/a	68105.00707	n/a
68106.13581	1.517700833	1	106	3	3	2	n/a	68106.51377	n/a
68107.64719	1.520284166	1	107	3	2	2	n/a	68108.02533	n/a
68109.16096	1.518363667	1	108	3	1	2	n/a	68109.53785	n/a
68110.67317	1.5162625	1	109	3	1	2	n/a	68111.05005	n/a
68112.18311	1.519461708	1	110	3	2	2	n/a	68112.56089	n/a
68113.69625	1.518507333	1	111	3	3	2	n/a	68114.0736	n/a
68115.20843	1.516510709	1	112	3	4	2	n/a	68115.58479	n/a
68116.71875	1.518403875	1	113	3	5	2	n/a	68117.09578	n/a
68118.23089	1.52009125	1	114	3	6	2	n/a	68118.6093	n/a
68119.74461	1.519449583	1	115	3	7	2	n/a	68120.12225	n/a
68121.25724	1.516770417	1	116	3	8	2	n/a	68121.63123	n/a
68122.76746	1.516888208	1	117	3	9	2	n/a	68123.14327	n/a
68124.27804	1.519159875	1	118	3	10	2	n/a	68124.65648	n/a
68125.79093	1.519162083	1	119	3	11	2	n/a	68126.16834	n/a
68127.30377	1.518254333	1	120	3	12	2	n/a	68127.68043	n/a
68128.81549	1.521118583	1	121	1	12	2	n/a	68129.19482	n/a
68130.33006	1.519376375	1	122	1	11	2	n/a	68130.70822	n/a
68131.8431	1.518479541	1	123	1	10	2	n/a	68132.22104	n/a
68133.35501	1.518871667	1	124	1	9	2	n/a	68133.73339	n/a
68134.86681	1.517851084	1	125	1	8	2	n/a	68135.24445	n/a
68136.37842	1.512937917	1	126	1	7	2	n/a	68136.75676	n/a
68137.8852	1.519763833	1	127	1	6	2	n/a	68138.26333	n/a
68139.39852	1.51612525	1	128	1	5	2	n/a	68139.77415	n/a
68140.90831	1.516391042	1	129	1	4	2	n/a	68141.28465	n/a
68142.41841	1.520758209	1	130	1	3	2	n/a	68142.79638	n/a
68143.93272	1.519436666	1	131	1	2	2	n/a	68144.31054	n/a
68145.44587	1.519676	1	132	1	1	2	n/a	68145.82337	n/a
68146.95899	1.5175295	1	133	4	1	2	n/a	68147.33489	n/a
68148.47025	1.520387083	1	134	4	2	2	n/a	68148.84943	n/a
68149.98441	1.521287083	1	135	4	3	2	n/a	68150.36279	n/a
68151.49877	1.519467375	1	136	4	4	2	n/a	68151.87646	n/a
68153.01198	1.512985	1	137	4	5	2	n/a	68153.38692	n/a
68154.51848	1.518742833	1	138	4	6	2	n/a	68154.89583	n/a
68156.03082	1.518951042	1	139	4	7	2	n/a	68156.40944	n/a
68157.54337	1.517845959	1	140	4	8	2	n/a	68157.9208	n/a
68159.05484	1.51918975	1	141	4	9	2	n/a	68159.43215	n/a
68160.5672	1.518525958	1	142	4	10	2	n/a	68160.94565	n/a
68162.07938	1.519323709	1	143	4	11	2	n/a	68162.45775	n/a
68163.59225	1.519600167	1	144	4	12	2	n/a	68163.96947	n/a
