onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
564.2687951	1.427975333	1	1	7	7	3	n/a	564.64649	n/a
565.7915689	1.416152541	1	2	7	7	3	n/a	566.1682116	n/a
567.3025685	1.414956458	1	3	7	7	3	n/a	567.6806443	n/a
568.811927	1.418283375	1	4	7	7	3	n/a	569.1902739	n/a
570.3248863	1.417042833	1	5	7	7	3	n/a	570.7019884	n/a
571.8363128	1.415220875	1	6	7	7	3	n/a	572.2140825	n/a
573.3486706	1.41752025	1	7	7	7	3	n/a	573.726765	n/a
574.8607746	1.415602708	1	8	7	7	3	n/a	575.2384945	n/a
576.3699447	1.414413125	1	9	7	7	3	n/a	576.748287	n/a
577.8787796	1.42008325	1	10	7	7	3	n/a	578.257978	n/a
579.3929935	1.410590375	1	11	1	6	2	1	579.7700202	-0.692770417
580.8972841	1.406861375	1	12	1	5	1	n/a	581.2721489	n/a
582.3985707	1.407804125	1	13	1	4	1	n/a	582.7748394	n/a
583.9002375	1.408211167	1	14	1	3	2	1	584.2767343	-0.673796542
585.4030787	1.412162875	1	15	1	2	2	n/a	585.7797353	n/a
586.9099112	1.414733958	1	16	1	1	1	n/a	587.2847037	n/a
588.4178547	1.399740583	1	17	3	1	1	0	588.7925614	-0.393746584
589.910974	1.408568959	1	18	3	2	2	1	590.2880399	-0.398362125
591.4127518	1.4048195	1	19	3	3	2	1	591.7872868	-0.217147917
592.9105579	1.407860916	1	20	3	4	2	1	593.2851968	-0.693874292
594.4122865	1.411158958	1	21	3	5	2	1	594.789603	-0.692169791
595.9174602	1.411226416	1	22	3	6	2	1	596.2962688	-0.602830708
597.4220442	1.41355925	1	23	7	7	3	n/a	597.8002871	n/a
598.9297835	1.416728	1	24	7	7	3	n/a	599.308352	n/a
600.4407545	1.420137125	1	25	7	7	3	n/a	600.8184883	n/a
601.9555409	1.417106	1	26	7	7	3	n/a	602.333983	n/a
603.4674988	1.420643291	1	27	7	7	3	n/a	603.8480107	n/a
604.9828928	1.4171545	1	28	7	7	3	n/a	605.36125	n/a
606.4945718	1.419404375	1	29	7	7	3	n/a	606.8735411	n/a
608.00882	1.416690834	1	30	7	7	3	n/a	608.3867709	n/a
609.5202504	1.417612084	1	31	7	7	3	n/a	609.8983996	n/a
611.0315524	1.414205417	1	32	7	7	3	n/a	611.4097672	n/a
612.5405249	1.403953959	1	33	2	6	1	0	612.9171339	-0.222533917
614.03821	1.404542875	1	34	2	5	1	n/a	614.414666	n/a
615.5370377	1.416090208	1	35	2	4	2	1	615.9147961	-0.499060792
617.0467125	1.410267375	1	36	2	3	1	n/a	617.4234616	n/a
618.5504557	1.413450042	1	37	2	2	1	n/a	618.9277857	n/a
620.0563613	1.409097083	1	38	2	1	2	1	620.4338517	-0.493636542
621.5596798	1.415791042	1	39	1	1	2	n/a	621.9381102	n/a
623.070253	1.412628584	1	40	1	2	2	1	623.4494657	-0.296599292
624.5772267	1.406445375	1	41	1	3	2	1	624.9528423	-0.962195
626.0768438	1.407572875	1	42	1	4	1	n/a	626.452473	n/a
627.5795935	1.411061167	1	43	1	5	1	n/a	627.9569322	n/a
629.0844594	1.413911041	1	44	1	6	2	n/a	629.463663	n/a
630.5924838	1.420998	1	45	7	7	3	n/a	630.9731444	n/a
632.1077403	1.414556042	1	46	7	7	3	n/a	632.4841573	n/a
633.616744	1.414490667	1	47	7	7	3	n/a	633.9942108	n/a
635.1258801	1.417330458	1	48	7	7	3	n/a	635.5039015	n/a
636.6367533	1.410421333	1	49	7	7	3	n/a	637.0114928	n/a
638.1416413	1.41745675	1	50	7	7	3	n/a	638.519196	n/a
639.653832	1.419261959	1	51	7	7	3	n/a	640.0330788	n/a
641.167797	1.42154075	1	52	7	7	3	n/a	641.5463725	n/a
642.6841621	1.417583708	1	53	7	7	3	n/a	643.0622489	n/a
644.196403	1.418608	1	54	7	7	3	n/a	644.575897	n/a
645.7089625	1.41324475	1	55	3	6	1	0	646.0881834	-0.130285
647.2168232	1.414096083	1	56	3	5	2	1	647.595164	-0.513774959
648.7250968	1.41063575	1	57	3	4	2	n/a	649.1023532	n/a
650.2302669	1.410583292	1	58	3	3	2	1	650.6085321	-0.586167791
651.7343777	1.415068667	1	59	3	2	2	1	652.1124805	-0.773901458
653.242593	1.40661475	1	60	3	1	2	n/a	653.6166465	n/a
654.7435055	1.418110917	1	61	5	1	1	0	655.1212405	-0.496172958
656.2560072	1.412275958	1	62	5	2	1	n/a	656.6328026	n/a
657.7627028	1.404924916	1	63	5	3	2	1	658.1403442	-0.392585041
659.261823	1.412024959	1	64	5	4	2	n/a	659.6401501	n/a
660.7674118	1.412139833	1	65	5	5	1	n/a	661.1457803	n/a
662.2741592	1.409965542	1	66	5	6	1	n/a	662.6509678	n/a
663.7780425	1.415749	1	67	7	7	3	n/a	664.155229	n/a
665.28797	1.414480041	1	68	7	7	3	n/a	665.6659244	n/a
666.7971932	1.4165665	1	69	7	7	3	n/a	667.1749092	n/a
668.3082615	1.416334958	1	70	7	7	3	n/a	668.6864446	n/a
669.8193309	1.415268625	1	71	7	7	3	n/a	670.196379	n/a
671.329259	1.4170355	1	72	7	7	3	n/a	671.7079952	n/a
672.8408805	1.414243625	1	73	7	7	3	n/a	673.2171702	n/a
674.349561	1.415251041	1	74	7	7	3	n/a	674.7271422	n/a
675.8597054	1.417916666	1	75	7	7	3	n/a	676.239149	n/a
677.3719623	1.417733	1	76	7	7	3	n/a	677.7506938	n/a
678.8845177	1.415329209	1	77	5	6	2	1	679.2672418	-0.137615208
680.3944256	1.408840375	1	78	5	5	1	n/a	680.7716425	n/a
681.8979088	1.40887875	1	79	5	4	1	n/a	682.2752515	n/a
683.4006477	1.41502425	1	80	5	3	1	n/a	683.7775335	n/a
684.9089699	1.410204791	1	81	5	2	2	1	685.2845064	-0.398330625
686.4135637	1.408983583	1	82	5	1	1	n/a	686.789749	n/a
687.9173712	1.411163459	1	83	2	1	1	n/a	688.2932858	n/a
689.42154	1.409559	1	84	2	2	1	0	689.7969739	-0.770761875
690.925281	1.409956709	1	85	2	3	2	n/a	691.3026789	n/a
692.4294008	1.410589875	1	86	2	4	2	1	692.8073384	-0.499253167
693.9339378	1.408772375	1	87	2	5	1	n/a	694.3115889	n/a
695.4364613	1.40864675	1	88	2	6	1	n/a	695.8140445	n/a
696.9394191	1.415205208	1	89	7	7	3	n/a	697.3170649	n/a
698.4491381	1.417713958	1	90	7	7	3	n/a	698.8258651	n/a
699.9613937	1.414490584	1	91	7	7	3	n/a	700.3386451	n/a
701.4704677	1.417136875	1	92	7	7	3	n/a	701.8475295	n/a
702.9812	1.4198045	1	93	7	7	3	n/a	703.3595875	n/a
704.4953589	1.415388292	1	94	7	7	3	n/a	704.8720968	n/a
706.0053646	1.418480458	1	95	7	7	3	n/a	706.3831068	n/a
707.5183338	1.418135458	1	96	7	7	3	n/a	707.896855	n/a
709.0308722	1.417237042	1	97	7	7	3	n/a	709.4084034	n/a
710.5427472	1.416996042	1	98	7	7	3	n/a	710.9201638	n/a
712.054074	1.408654334	1	99	4	6	1	n/a	712.4314287	n/a
713.5570318	1.412606458	1	100	4	5	1	n/a	713.9345172	n/a
715.063932	1.410060333	1	101	4	4	1	n/a	715.4418835	n/a
716.568799	1.410554041	1	102	4	3	2	1	716.945576	-0.772815959
718.0736529	1.409183459	1	103	4	2	2	n/a	718.4506472	n/a
719.5767634	1.409245792	1	104	4	1	1	0	719.95444	-0.580404875
721.0806938	1.411053708	1	105	4	1	1	n/a	721.4587185	n/a
722.5860462	1.411865208	1	106	4	2	2	1	722.9637472	-0.385597084
724.0920778	1.41125875	1	107	4	3	2	n/a	724.4703562	n/a
725.5976345	1.410666625	1	108	4	4	2	1	725.9757095	-0.412444375
727.1012507	1.408649833	1	109	4	5	1	n/a	727.477638	n/a
728.6041335	1.4123805	1	110	4	6	2	1	728.9812233	-0.50132225
730.1108286	1.420585458	1	111	7	7	3	n/a	730.4885952	n/a
731.6252432	1.413742667	1	112	7	7	3	n/a	732.0032151	n/a
733.1331499	1.415805875	1	113	7	7	3	n/a	733.5110247	n/a
