onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
1209.044606	3.773305375	1	1	2	12	2	n/a	1211.207564	n/a
1212.837573	1.982510875	1	2	2	11	1	n/a	1213.360004	n/a
1214.838205	1.825105959	1	3	2	10	2	n/a	1215.312788	n/a
1216.678172	1.76167875	1	4	2	9	1	n/a	1217.115659	n/a
1218.45427	1.713176417	1	5	2	8	2	n/a	1218.874223	n/a
1220.172812	1.557820333	1	6	2	7	1	n/a	1220.554852	n/a
1221.72689	1.515516959	1	7	2	6	2	n/a	1222.121076	n/a
1223.235202	1.503880042	1	8	2	5	2	n/a	1223.618141	n/a
1224.731791	1.492915292	1	9	2	4	1	n/a	1225.103202	n/a
1226.217537	1.492695458	1	10	2	3	1	n/a	1226.588832	n/a
1227.703081	1.49210025	1	11	2	2	2	n/a	1228.074309	n/a
1229.188017	1.492770292	1	12	2	1	2	n/a	1229.559499	n/a
1230.673712	1.493254583	1	13	2	1	1	n/a	1231.04565	n/a
1232.160588	1.49396725	1	14	2	2	2	n/a	1232.532439	n/a
1233.64761	1.492865041	1	15	2	3	1	n/a	1234.019169	n/a
1235.133614	1.493721875	1	16	2	4	2	n/a	1235.505649	n/a
1236.620173	1.493390541	1	17	2	5	2	n/a	1236.991506	n/a
1238.106258	1.492000625	1	18	2	6	1	n/a	1238.476725	n/a
1239.593981	1.52915275	1	19	2	7	2	n/a	1239.973696	n/a
1241.117932	1.661770375	1	20	2	8	2	n/a	1241.531851	n/a
1242.785426	1.761620917	1	21	2	9	2	n/a	1243.228366	n/a
1244.563485	1.831063625	1	22	2	10	2	n/a	1245.027457	n/a
1246.41112	1.940179709	1	23	2	11	2	n/a	1246.912077	n/a
1248.379373	2.087878958	1	24	2	12	1	n/a	1248.911412	n/a
1250.515738	2.25735075	1	25	6	12	1	n/a	1251.094228	n/a
1252.808732	2.130775958	1	26	6	11	1	n/a	1253.38996	n/a
1254.974683	2.240105417	1	27	6	10	2	n/a	1255.578565	n/a
1257.251499	2.179418334	1	28	6	9	2	n/a	1257.826862	n/a
1259.465664	2.101758542	1	29	6	8	2	n/a	1260.005321	n/a
1261.606543	2.119964291	1	30	6	7	1	n/a	1262.146788	n/a
1263.760416	2.05747125	1	31	6	6	2	n/a	1264.281958	n/a
1265.843261	1.922426417	1	32	6	5	1	n/a	1266.32864	n/a
1267.7909	1.913416375	1	33	6	4	1	n/a	1268.287371	n/a
1269.723809	1.895970208	1	34	6	3	1	n/a	1270.196742	n/a
1271.638996	1.862122042	1	35	6	2	2	n/a	1272.11231	n/a
1273.521235	1.891477208	1	36	6	1	1	n/a	1274.000536	n/a
1275.433032	1.533270959	1	37	4	1	1	n/a	1275.818022	n/a
1276.962054	1.542429167	1	38	4	2	1	n/a	1277.342205	n/a
1278.499361	1.521193083	1	39	4	3	1	n/a	1278.873074	n/a
1280.0157	1.516760459	1	40	4	4	1	n/a	1280.386445	n/a
1281.528465	1.61853225	1	41	4	5	2	n/a	1281.934963	n/a
1283.161939	1.779519541	1	42	4	6	2	n/a	1283.619918	n/a
1284.958417	1.87908725	1	43	4	7	2	n/a	1285.446493	n/a
1286.863066	1.992816625	1	44	4	8	2	n/a	1287.387359	n/a
1288.890867	2.111577625	1	45	4	9	2	n/a	1289.451686	n/a
1291.043471	2.175589666	1	46	4	10	2	n/a	1291.618797	n/a
1293.272518	2.263647584	1	47	4	11	2	n/a	1293.875997	n/a
1295.59623	2.317737875	1	48	4	12	2	n/a	1296.191595	n/a
1297.961583	2.328833125	1	49	5	12	1	n/a	1298.568602	n/a
1300.331071	2.272620458	1	50	5	11	2	n/a	1300.936418	n/a
