onset	duration	run_number	trial_number	spatial_frequency	michelson_contrast	probe_orientation	response_correctness	probe_time	reaction_time
3635.557603	0.4164792	1	1	2	12	2	n/a	3635.640774	n/a
3635.974296	1.599537322	1	2	2	11	1	1	3636.37404	0.6016462
3637.573849	1.5998646	1	3	2	10	1	0	3637.9738	0.4015274
3639.17362	1.5998284	1	4	2	9	1	1	3639.573717	0.6013518
3640.773382	1.5997881	1	5	2	8	2	1	3641.173374	0.4011128
3642.373189	1.5999071	1	6	2	7	1	1	3642.773105	0.4006601
3643.973072	1.5996257	1	7	2	6	2	0	3644.372954	0.4020405
3645.572743	1.5997257	1	8	2	5	1	1	3645.972828	0.3039751321
3647.172609	1.5996109	1	9	2	4	2	1	3647.572365	0.3005473
3648.772368	1.5996715	1	10	2	3	1	1	3649.172307	0.2012077
3650.372132	1.5997757	1	11	2	2	2	1	3650.772065	0.4023301
3651.971895	1.5997691	1	12	2	1	2	0	3652.371835	0.5010638
3653.571652	1.599785	1	13	4	1	2	1	3653.971642	0.705252122
3655.17142	1.5997866	1	14	4	2	2	0	3655.571363	0.9999785
3656.771181	1.5997831	1	15	4	3	1	0	3657.171115	1.0010279
3658.370943	1.5998078	1	16	4	4	1	1	3658.770742	0.800831
3659.970545	1.5999321	1	17	4	5	1	n/a	3660.370644	n/a
3661.570382	1.5998649	1	18	4	6	2	1	3661.970404	0.9014368
3663.170233	1.5997789	1	19	4	7	2	1	3663.570173	0.7006116
3664.770012	1.5997711	1	20	4	8	1	1	3665.169942	0.5000896
3666.369758	1.599621	1	21	4	9	1	1	3666.769548	0.600642
3667.969492	1.5996091	1	22	4	10	1	1	3668.369457	0.600118
3669.569276	1.5997863	1	23	4	11	1	1	3669.969222	0.5004869
3671.169042	1.5997819	1	24	4	12	2	1	3671.568992	0.6004741
3672.768824	1.5997596	1	25	4	12	1	1	3673.168743	0.600508
3674.368572	1.599615	1	26	4	11	1	1	3674.768507	0.5005928
